attr_id,usda_tag,name,unit
301,CA,"Calcium, Ca",mg
205,CHOCDF,"Carbohydrate, by difference",g
601,CHOLE,Cholesterol,mg
208,ENERC_KCAL,"Energy",kcal
606,FASAT,"Fatty acids, total saturated",g
204,FAT,Total lipid (fat),g
605,FATRN,"Fatty acids, total trans",g
303,FE,"Iron, Fe",mg
291,FIBTG,"Fiber, total dietary",g
306,K,"Potassium, K",mg
307,NA,"Sodium, Na",mg
203,PROCNT,Protein,g
269,SUGAR,"Sugars, total",g
539,SUGAR_ADD,"Sugars, added",g
324,VITD,Vitamin D,IU
513,ALA_G,Alanine,g
221,ALC,"Alcohol, ethyl",g
511,ARG_G,Arginine,g
207,ASH,Ash,g
514,ASP_G,Aspartic acid,g
454,BETN,Betaine,mg
262,CAFFN,Caffeine,mg
639,CAMD5,Campesterol,mg
322,CARTA,"Carotene, alpha",Âµg
321,CARTB,"Carotene, beta",Âµg
326,CHOCAL,Vitamin D3 (cholecalciferol),Âµg
421,CHOLN,"Choline, total",mg
334,CRYPX,"Cryptoxanthin, beta",Âµg
312,CU,"Copper, Cu",mg
507,CYS_G,Cystine,g
325,ERGCAL,Vitamin D2 (ergocalciferol),Âµg
610,F10D0,10:00,g
611,F12D0,12:00,g
696,F13D0,13:00,g
612,F14D0,14:00,g
625,F14D1,14:01,g
652,F15D0,15:00,g
697,F15D1,15:01,g
613,F16D0,16:00,g
626,F16D1,16:1 undifferentiated,g
673,F16D1C,16:1 c,g
662,F16D1T,16:1 t,g
653,F17D0,17:00,g
687,F17D1,17:01,g
614,F18D0,18:00,g
617,F18D1,18:1 undifferentiated,g
674,F18D1C,18:1 c,g
663,F18D1T,18:1 t,g
859,F18D1TN7,18:1-11t (18:1t n-7),g
618,F18D2,18:2 undifferentiated,g
670,F18D2CLA,18:2 CLAs,g
675,F18D2CN6,"18:2 n-6 c,c",g
669,F18D2TT,"18:2 t,t",g
619,F18D3,18:3 undifferentiated,g
851,F18D3CN3,"18:3 n-3 c,c,c (ALA)",g
685,F18D3CN6,"18:3 n-6 c,c,c",g
627,F18D4,18:04,g
615,F20D0,20:00,g
628,F20D1,20:01,g
672,F20D2CN6,"20:2 n-6 c,c",g
689,F20D3,20:3 undifferentiated,g
852,F20D3N3,20:3 n-3,g
853,F20D3N6,20:3 n-6,g
620,F20D4,20:4 undifferentiated,g
855,F20D4N6,20:4 n-6,g
629,F20D5,20:5 n-3 (EPA),g
857,F21D5,21:05,g
624,F22D0,22:00,g
630,F22D1,22:1 undifferentiated,g
858,F22D4,22:04,g
631,F22D5,22:5 n-3 (DPA),g
621,F22D6,22:6 n-3 (DHA),g
654,F24D0,24:00:00,g
671,F24D1C,24:1 c,g
607,F4D0,4:00,g
608,F6D0,6:00,g
609,F8D0,8:00,g
645,FAMS,"Fatty acids, total monounsaturated",g
646,FAPU,"Fatty acids, total polyunsaturated",g
693,FATRNM,"Fatty acids, total trans-monoenoic",g
695,FATRNP,"Fatty acids, total trans-polyenoic",g
313,FLD,"Fluoride, F",Âµg
417,FOL,"Folate, total",Âµg
431,FOLAC,Folic acid,Âµg
435,FOLDFE,"Folate, DFE",Âµg
432,FOLFD,"Folate, food",Âµg
212,FRUS,Fructose,g
287,GALS,Galactose,g
515,GLU_G,Glutamic acid,g
211,GLUS,Glucose (dextrose),g
516,GLY_G,Glycine,g
512,HISTN_G,Histidine,g
521,HYP,Hydroxyproline,g
503,ILE_G,Isoleucine,g
213,LACS,Lactose,g
504,LEU_G,Leucine,g
338,LUT+ZEA,Lutein + zeaxanthin,Âµg
337,LYCPN,Lycopene,Âµg
505,LYS_G,Lysine,g
214,MALS,Maltose,g
506,MET_G,Methionine,g
304,MG,"Magnesium, Mg",mg
428,MK4,Menaquinone-4,Âµg
315,MN,"Manganese, Mn",mg
406,NIA,Niacin,mg
573,NULL,"Vitamin E, added",mg
578,NULL,"Vitamin B-12, added",Âµg
257,NULL,Adjusted Protein,g
664,NULL,22:1 t,g
676,NULL,22:1 c,g
856,NULL,18:3i,g
665,NULL,18:2 t not further defined,g
666,NULL,18:2 i,g
305,P,"Phosphorus, P",mg
410,PANTAC,Pantothenic acid,mg
508,PHE_G,Phenylalanine,g
636,PHYSTR,Phytosterols,mg
517,PRO_G,Proline,g
319,RETOL,Retinol,Âµg
405,RIBF,Riboflavin,mg
317,SE,"Selenium, Se",Âµg
518,SER_G,Serine,g
641,SITSTR,Beta-sitosterol,mg
209,STARCH,Starch,g
638,STID7,Stigmasterol,mg
210,SUCS,Sucrose,g
263,THEBRN,Theobromine,mg
404,THIA,Thiamin,mg
502,THR_G,Threonine,g
323,TOCPHA,Vitamin E (alpha-tocopherol),mg
341,TOCPHB,"Tocopherol, beta",mg
343,TOCPHD,"Tocopherol, delta",mg
342,TOCPHG,"Tocopherol, gamma",mg
501,TRP_G,Tryptophan,g
509,TYR_G,Tyrosine,g
510,VAL_G,Valine,g
318,VITA_IU,"Vitamin A, IU",IU
320,VITA_RAE,"Vitamin A, RAE",Âµg
418,VITB12,Vitamin B-12,Âµg
415,VITB6A,Vitamin B-6,mg
401,VITC,"Vitamin C, total ascorbic acid",mg
328,VITD,Vitamin D (D2 + D3),Âµg
430,VITK1,Vitamin K (phylloquinone),Âµg
429,VITK1D,Dihydrophylloquinone,Âµg
255,WATER,Water,g
309,ZN,"Zinc, Zn",mg
344,TOCTRA,"Tocotrienol, alpha",mg
345,TOCTRB,"Tocotrienol, beta",mg
346,TOCTRG,"Tocotrienol, gamma",mg
347,TOCTRD,"Tocotrienol,delta",mg
